id,title,city,company,company_id,experience,employment,schedule,salary_from,salary_to,currency,skills,requirement,responsibility,url,published_at
131670595,Бизнес-аналитик,Астана,Центр электронных финансов,546608,От 3 до 6 лет,Полная занятость,Полный день,,,,,"5) Владение Excel/Power BI/Google Data Studio для подготовки аналитических выкладок. 6) Опыт описания нормативных методик, регламентов и SOP...","1) Сбор, анализ и формализация требований заказчика с последующей привязкой к функциональным возможностям разрабатываемой информационной системы в рамках ИТ-проекта.",https://hh.ru/vacancy/131670595,2026-03-30T15:10:58+0300
131616760,"Supervisor, IT & Innovations",Астана,VIETJET QAZAQSTAN,1842017,От 1 года до 3 лет,Полная занятость,Полный день,,,,,"2+ years of experience as a Product Manager, Business Analyst, or System Analyst. Direct experience in an airline or...","PSS, DCS, Revenue Management, MRO, Finance, CRM). Define data flows, interfaces, and dependencies between internal and external systems.",https://hh.ru/vacancy/131616760,2026-03-27T14:41:15+0300
131607346,Аналитик,Астана,JFOOD KAZAKHSTAN,56240,Более 6 лет,Полная занятость,Полный день,,600000,KZT,,"Высшее образование в области математики, статистики, экономики, IT или смежных направлений. Опыт работы Data-аналитиком или аналитиком данных от 1...","Сбор, обработка и анализ данных из внутренних и внешних источников. Подготовка аналитических отчетов и дашбордов для бизнеса и руководства.",https://hh.ru/vacancy/131607346,2026-03-27T12:03:14+0300
131560326,Data Steward (Управление данными / Data Governance),Астана,РГП на ПХВ Инженерно-технический центр Управления Делами Президента Республики Казахстан,5349502,От 3 до 6 лет,Полная занятость,Полный день,,,,"Data Governance, data catalog, Apache Kafka, API, Data Lake, DWH, Data Quality, ETL, SQL, Apache Airflow, Power BI, Tableau, Stream Processing, Event-Driven Architecture, Алгоритмы и структуры данных","Знание современной архитектуры данных: Data Lake, DWH, Data Mesh, Data Fabric. Опыт работы с методами Data Quality, Profiling и Cleansing.","Участие в развитии Data Lake, DWH, Data Mesh/Fabric и минимизация технического долга в данных. Внедрение инструментов DataOps и оптимизация...",https://hh.ru/vacancy/131560326,2026-03-26T08:44:36+0300
131559872,Аналитик базы данных (Data Analyst / BI Analyst),Астана,Казцинк,692135,От 1 года до 3 лет,Полная занятость,Полный день,,,,,"Образование: Экономика, математика, статистика, IT-аналитика, инженерные специальности. Профессиональная подготовка и опыт: – Опыт работы Data Analyst / BI Analyst не менее...","Сбор, обработка и структурирование больших массивов данных (план-факт, производственные показатели, модели затрат). Разработка интерактивных дашбордов Power BI для контроля...",https://hh.ru/vacancy/131559872,2026-03-26T08:31:16+0300
131402619,Старший аналитик данных,Астана,BI Group,11963936,От 3 до 6 лет,Полная занятость,Полный день,,,,"SQL, Анализ данных, Работа с большим объемом информации, Исследовательский анализ данных, Power BI, Анализ требований, Data Mining",Продвинутый уровень Excel / Google Sheets. Знание Python (для автоматизации и аналитики). Понимание принципов работы CRM и других корпоративных систем.,"Сбор, очистка и структурирование данных из различных систем (1С, CRM, Opera, Cognos, чаты, IVR и др.). Интеграция данных из...",https://hh.ru/vacancy/131402619,2026-03-20T08:35:34+0300
129717186,Начальник управления исследований и методологии ИИ,Астана,Жилищный строительный сберегательный банк Отбасы банк,111928,От 3 до 6 лет,Полная занятость,Полный день,,,,"Аналитическое мышление, Аналитические исследования, Анализ данных, Оптимизация бизнес-процессов, Машинное обучение, LLM","Высшее образование: техническое / ИТ / математическое / прикладная статистика / data science либо иное профильное, соответствующее направлению ИИ и аналитики данных.",Формировать и управлять AI Research Roadmap и портфелем инициатив. Организовывать прикладные исследования и PoC/эксперименты. Проектировать и внедрять решения на...,https://hh.ru/vacancy/129717186,2026-03-19T12:40:26+0300
131379855,System Analyst,Астана,Andersen,851604,От 3 до 6 лет,Полная занятость,Удаленная работа,,,,,Commercial experience as a System Analyst for 4+ years. Experience as a Business Analyst is desirable. Strong skills in...,"Ensuring backlog readiness, validating that each item is clear, appropriately sized, and prioritized – partnering with Business Analysts for detailed requirements...",https://hh.ru/vacancy/131379855,2026-03-19T12:27:33+0300
131375651,Full Stack Engineer (Angular+.NET),Астана,Andersen,851604,От 3 до 6 лет,Полная занятость,Полный день,,,,".NET Core, Angular, Kubernetes, Agile",Experience in full stack development for 4+ years. Strong hands-on experience with Angular and modern frontend development practices.,"Participating in requirements, gathering and collaborating with project teams and business analysts to understand and refine system needs.",https://hh.ru/vacancy/131375651,2026-03-19T11:27:55+0300
131365451,Руководитель отдела маркетинга,Астана,КДЛ ОЛИМП (ТОО Мырза-Хан),635840,Более 6 лет,Полная занятость,Полный день,,,,,"Сертификация: Google Analytics, Яндекс.Метрика, курсы по healthcare-маркетингу (международные программы), тренинги по управлению командами, лидерству, курсы по маркетинговой аналитике, data...","Разработка образовательного контента для пациентов. Внедрение маркетинговой аналитики, формирование KPI и отчетности. Взаимодействие с отделами продаж, медицинским персоналом, IT для...",https://hh.ru/vacancy/131365451,2026-03-19T08:41:15+0300
